,Province,Province_TH,Link
56,Loei,เลย,https://public.tableau.com/shared/KQPKW8C7R?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
57,Sisaket,ศรีสะเกษ,https://public.tableau.com/shared/5P7MNDHWY?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
58,Sakon Nakhon,สกลนคร,https://public.tableau.com/shared/MTG6SYJQN?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
59,Songkhla,สงขลา,https://public.tableau.com/shared/DY596K27Q?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
60,Samut Songkhram,สมุทรสงคราม,https://public.tableau.com/shared/44N85G23X?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
61,Sa Kaeo,สระแก้ว,https://public.tableau.com/shared/XF4NT4GCW?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
62,Saraburi,สระบุรี,https://public.tableau.com/shared/52STCM6SJ?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
63,Sing Buri,สิงห์บุรี,https://public.tableau.com/shared/MNRFQF2GN?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
64,Sukhothai,สุโขทัย,https://public.tableau.com/shared/NN26PMJWN?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
65,Suphan Buri,สุพรรณบุรี,https://public.tableau.com/shared/WG4MK56T5?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
66,Surat Thani,สุราษฎร์ธานี,https://public.tableau.com/shared/3NBYTPZW7?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
67,Surin,สุรินทร์,https://public.tableau.com/shared/5GT6NXQ87?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
68,Satun,สตูล,https://public.tableau.com/shared/DXY822K2Y?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
69,Nong Khai,หนองคาย,https://public.tableau.com/shared/BPK6NFC2X?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
70,Nong Bua Lamphu,หนองบัวลำภู,https://public.tableau.com/shared/CN9KQNZ37?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
71,Amnat Charoen,อำนาจเจริญ,https://public.tableau.com/shared/DKCBKQQCH?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
72,Udon Thani,อุดรธานี,https://public.tableau.com/shared/274GQ5R8S?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
73,Uttaradit,อุตรดิตถ์,https://public.tableau.com/shared/GHZQYPTFP?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
74,Uthai Thani,อุทัยธานี,https://public.tableau.com/shared/R4J7KRJPF?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
75,Ubon Ratchathani,อุบลราชธานี,https://public.tableau.com/shared/QXQS3C5CR?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
76,Ang Thong,อ่างทอง,https://public.tableau.com/shared/9WDRNP6T6?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
